time_s,reference_trusted,reference_theta1_rad,reference_theta2_rad,reference_omega1_rad_per_s,reference_omega2_rad_per_s,pinn_theta1_rad,pinn_theta2_rad,pinn_omega1_rad_per_s,pinn_omega2_rad_per_s,rk4_theta1_rad,rk4_theta2_rad,rk4_omega1_rad_per_s,rk4_omega2_rad_per_s,pinn_angle_error_rad,rk4_angle_error_rad,reference_energy_drift_over_amplitude,pinn_energy_drift_over_amplitude,rk4_energy_drift_over_amplitude
0.000000000000000000e+00,1.000000000000000000e+00,2.094395102393195263e+00,2.094395102393195263e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.094395102393195263e+00,2.094395102393195263e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.094395102393195263e+00,2.094395102393195263e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.333333333333333547e-03,1.000000000000000000e+00,2.094347951693388499e+00,2.094395102821001498e+00,-2.829067656452989576e-02,5.133441877820403317e-07,2.094353137729529468e+00,2.094394229034961530e+00,-2.824940452932116555e-02,7.607168188408838235e-06,2.094347951693388055e+00,2.094395102821005494e+00,-2.829067655457193770e-02,5.133302116111874518e-07,5.186036140969463304e-06,3.996802888650563546e-15,6.042030065987245791e-17,2.655809946201877517e-06,4.833624052789797027e-15
6.666666666666667095e-03,1.000000000000000000e+00,2.094206494461155810e+00,2.094395109236230290e+00,-5.658443241826380254e-02,4.105075923890017219e-06,2.094214013961009258e+00,2.094393821365142738e+00,-5.652498902670617664e-02,1.493541693920547654e-05,2.094206494461177570e+00,2.094395109236215635e+00,-5.658443239834086425e-02,4.105047959171158773e-06,7.519499853447797477e-06,2.176037128265306819e-14,6.042030065987245791e-17,3.720567070515590419e-06,1.462171275968913457e-14
1.000000000000000021e-02,1.000000000000000000e+00,2.093970715306028296e+00,2.094395137020333753e+00,-8.488434206704792429e-02,1.384519104186539241e-05,2.093978369881337454e+00,2.094393818734928914e+00,-8.482376115471476630e-02,2.568840173331681130e-05,2.093970715306095798e+00,2.094395137020275577e+00,-8.488434203714172177e-02,1.384514905743353791e-05,7.654575309157252150e-06,6.750155989720951766e-14,1.812609019796173737e-16,3.656058035787845198e-06,2.948510672201776084e-14
1.333333333333333419e-02,1.000000000000000000e+00,2.093640588603814745e+00,2.094395211762416498e+00,-1.131934704395974878e-01,3.278688409749685225e-05,2.093646772682548285e+00,2.094394167729103806e+00,-1.131435729496765713e-01,4.352469242352198780e-05,2.093640588603950192e+00,2.094395211762291709e+00,-1.131934703996798214e-01,3.278682804562504938e-05,6.184078733539877248e-06,1.354472090042690979e-13,2.416812026394898316e-16,2.845149154701058556e-06,4.960506684175529226e-14
1.666666666666666644e-02,1.000000000000000000e+00,2.093216078536553670e+00,2.094395369189150813e+00,-1.415148680729080566e-01,6.395810313794076047e-05,2.093219715753101173e+00,2.094394825422361439e+00,-1.414830735744750656e-01,7.204133949133750478e-05,2.093216078536764613e+00,2.094395369188961187e+00,-1.415148680229758038e-01,6.395803300876855637e-05,3.637216547502930553e-06,2.109423746787797427e-13,1.268826313857321591e-15,1.599543470072697902e-06,7.480033221692210531e-14
2.000000000000000042e-02,1.000000000000000000e+00,2.092697139148499197e+00,2.094395655066558781e+00,-1.698515662667743342e-01,1.103530514954262690e-04,2.092697617248060027e+00,2.094395762065464961e+00,-1.698416568574408203e-01,1.147581666796690917e-04,2.092697139148816277e+00,2.094395655066269679e+00,-1.698515662067325016e-01,1.103529671342972653e-04,4.780995608300031563e-07,3.170796958329447079e-13,1.510507516496811522e-15,1.672998428530131903e-07,1.051313231481780776e-13
2.333333333333333440e-02,1.000000000000000000e+00,2.092083714418458307e+00,2.094396125073143544e+00,-1.982065721965900473e-01,1.749236181462220942e-04,2.092080819432102778e+00,2.094396963214243179e+00,-1.982194043893548141e-01,1.751028856335103807e-04,2.092083714418893070e+00,2.094396125072748749e+00,-1.982065721264477665e-01,1.749235195582317295e-04,2.894986355528317290e-06,4.347633364432113012e-13,3.081435333653495575e-15,1.259954470310286398e-06,1.408397208381627010e-13
2.666666666666666838e-02,1.000000000000000000e+00,2.091375738348422164e+00,2.094396844644428768e+00,-2.265828639753460494e-01,2.605707209104775345e-04,2.091369588793078549e+00,2.094398431324820731e+00,-2.266170249688043981e-01,2.563971094190631707e-04,2.091375738348922209e+00,2.094396844644026423e+00,-2.265828638952598895e-01,2.605706083251698130e-04,6.149555343615276115e-06,5.000444502911705058e-13,1.208406013197449217e-14,2.540170922100968469e-06,1.819255252868759753e-13
3.000000000000000236e-02,1.000000000000000000e+00,2.090573135068555910e+00,2.094397888788808171e+00,-2.549833856549078570e-01,3.701355454764418537e-04,2.090564116921297177e+00,2.094400186846789857e+00,-2.550357911893896268e-01,3.618433232407663861e-04,2.090573135069158095e+00,2.094397888788353423e+00,-2.549833855647159475e-01,3.701354186299783992e-04,9.018147258732511773e-06,6.021849685566849075e-13,1.885113380588020785e-14,3.574424636548665204e-06,2.287512582982771414e-13
