time_s,reference_trusted,reference_theta1_rad,reference_theta2_rad,reference_omega1_rad_per_s,reference_omega2_rad_per_s,pinn_theta1_rad,pinn_theta2_rad,pinn_omega1_rad_per_s,pinn_omega2_rad_per_s,rk4_theta1_rad,rk4_theta2_rad,rk4_omega1_rad_per_s,rk4_omega2_rad_per_s,pinn_angle_error_rad,rk4_angle_error_rad,reference_energy_drift_over_amplitude,pinn_energy_drift_over_amplitude,rk4_energy_drift_over_amplitude
0.000000000000000000e+00,1.000000000000000000e+00,1.047197551196597631e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.047197551196597631e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.047197551196597631e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.333333333333333547e-03,1.000000000000000000e+00,1.047143664802230534e+00,2.694441959649252196e-05,-3.233205818025280953e-02,1.616749598465533344e-02,1.047142385016738730e+00,3.070910158297321423e-05,-3.232340568111278373e-02,1.616345908319859886e-02,1.047143664802240082e+00,2.694441959114436609e-05,-3.233205818012196281e-02,1.616749598133398677e-02,3.764681986480692273e-06,9.547918011776346248e-15,0.000000000000000000e+00,7.555517746143368920e-07,5.316986458068776493e-15
6.666666666666667095e-03,1.000000000000000000e+00,1.046982001187074740e+00,1.077945632925824510e-04,-6.466677602058966412e-02,3.234512309884073067e-02,1.046980411800314315e+00,1.130631973217983982e-04,-6.465548453789966843e-02,3.234032859373874025e-02,1.046982001187120259e+00,1.077945632625270116e-04,-6.466677602032848415e-02,3.234512309219168824e-02,5.268634029215947165e-06,4.551914400963141816e-14,1.208406013197449158e-16,9.611993688664681594e-07,2.525568567582668755e-14
1.000000000000000021e-02,1.000000000000000000e+00,1.046712547046415587e+00,2.426010895201245526e-04,-9.700681831282277623e-02,4.854301469990757872e-02,1.046711328120831563e+00,2.477159078586254845e-04,-9.699688062970468483e-02,4.853948226028299145e-02,1.046712547046523278e+00,2.426010894463664143e-04,-9.700681831243429531e-02,4.854301468991926993e-02,5.114818338500931854e-06,1.076916333886401844e-13,1.208406013197449158e-16,7.613694140759651303e-07,5.993693825459347588e-14
1.333333333333333419e-02,1.000000000000000000e+00,1.046335280177216775e+00,4.314484413798733175e-04,-1.293548601137141651e-01,6.477130860338890794e-02,1.046334860307749137e+00,4.352739846745469422e-04,-1.293486628796605697e-01,6.477009625081280031e-02,1.046335280177412841e+00,4.314484412428669716e-04,-1.293548601132034070e-01,6.477130859004399943e-02,3.825543294673624736e-06,1.960653861488026450e-13,0.000000000000000000e+00,2.904735726930721824e-07,1.092399035930494051e-13
1.666666666666666644e-02,1.000000000000000000e+00,1.045850169435405874e+00,6.744548652189751373e-04,-1.617135918828193353e-01,8.104014932083083989e-02,1.045850764629656426e+00,6.763001720003786882e-04,-1.617122778467436350e-01,8.104160625003993534e-02,1.045850169435655452e+00,6.744548650047072977e-04,-1.617135918805059913e-01,8.104014930163792874e-02,1.845306781403550922e-06,2.495781359357351903e-13,5.171977736485082732e-14,3.306584024274491395e-07,1.735271034951536938e-13
2.000000000000000042e-02,1.000000000000000000e+00,1.045257174675840561e+00,9.717724366001434955e-04,-1.940857246177241091e-01,9.735969029486638004e-02,1.045258826764098536e+00,9.713166914492746360e-04,-1.940895055294593885e-01,9.736366828369762139e-02,1.045257174676117451e+00,9.717724363843376068e-04,-1.940857246137590031e-01,9.735969027001109555e-02,1.652088257975137253e-06,2.768896223415140412e-13,1.384833291124276805e-13,9.973926901014602833e-07,2.529193785622261352e-13
2.333333333333333440e-02,1.000000000000000000e+00,1.044556246675198086e+00,1.323587094072451852e-03,-2.264739950025400073e-01,1.137400961551287004e-01,1.044558860586612514e+00,1.320809275865379197e-03,-2.264824184454081735e-01,1.137461233575094016e-01,1.044556246675618194e+00,1.323587093872102566e-03,-2.264739949998506308e-01,1.137400961288435042e-01,2.777818207072655504e-06,4.201083925181592349e-13,1.405376193348633316e-13,1.623010178075041226e-06,3.471750475916271555e-13
2.666666666666666838e-02,1.000000000000000000e+00,1.043747327038116346e+00,1.730118680206775561e-03,-2.588811705686694387e-01,1.301915449938483849e-01,1.043750706324423572e+00,1.725231679477249886e-03,-2.588933441587695783e-01,1.301989659141752353e-01,1.043747327038719863e+00,1.730118679859774921e-03,-2.588811705655499340e-01,1.301915449635730471e-01,4.887000729525674964e-06,6.035172361862350954e-13,1.556426944998314464e-13,2.139598962583254250e-06,4.566566323873160586e-13
3.000000000000000236e-02,1.000000000000000000e+00,1.042830348085612924e+00,2.191620990022995902e-03,-2.913100548456856176e-01,1.467242306291037801e-01,1.042834228131647167e+00,2.185010593029302565e-03,-2.913248313596758510e-01,1.467323160540285332e-01,1.042830348086330794e+00,2.191620989269538276e-03,-2.913100548371478360e-01,1.467242305874823238e-01,6.610396993693336970e-06,7.534576261514214224e-13,3.137022010260577973e-13,2.498198591063154923e-06,5.817266547532520978e-13
